GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.shopwise.app.service,SaleServiceImpl,8,178,0,10,1,41,0,11,0,6
app,com.shopwise.app.service,RecommendationServiceImpl,3,96,3,5,1,23,3,7,0,6
app,com.shopwise.app.service,ProductServiceImpl,27,69,1,1,5,16,3,6,2,6
app,com.shopwise.app.mapper,SaleMapper,89,0,0,0,21,0,5,0,5,0
app,com.shopwise.app.mapper,ProductMapperImpl,104,0,10,0,31,0,10,0,5,0
app,com.shopwise.app.recommendation,CoOccurrenceRecommendationStrategy,27,526,11,37,7,93,12,31,1,18
app,com.shopwise.app.recommendation,RecommendationCandidate,0,9,0,0,0,1,0,1,0,1
app,com.shopwise.app.controller,RecommendationController,0,15,0,0,0,5,0,2,0,2
app,com.shopwise.app.controller,ProductController,34,13,0,0,8,5,4,2,4,2
app,com.shopwise.app.controller,SaleController,6,21,0,0,1,6,1,3,1,3
app,com.shopwise.app.exception,CustomExceptionHandler,14,67,0,0,3,15,1,6,1,6
app,com.shopwise.app.exception,NotFoundException,8,4,0,0,4,2,2,1,2,1
app,com.shopwise.app.dto.request,CreateSaleRequest,0,10,0,0,0,4,0,3,0,3
app,com.shopwise.app.dto.request,CreateSaleItemRequest,0,17,0,0,0,7,0,5,0,5
app,com.shopwise.app.dto.request,CreateProductRequest,9,15,0,0,3,8,3,4,3,4
app,com.shopwise.app.dto.request,UpdateProductRequest,9,15,0,0,3,8,3,4,3,4
app,com.shopwise.app.dto.response,ErrorResponse,11,15,0,0,6,6,3,3,3,3
app,com.shopwise.app.dto.response,ProductResponse,12,33,0,0,6,14,3,10,3,10
app,com.shopwise.app.dto.response,SaleItemResponse,38,0,0,0,16,0,11,0,11,0
app,com.shopwise.app.dto.response,SaleResponse,8,23,0,0,4,9,2,7,2,7
app,com.shopwise.app.dto.response,RecommendationResponse,0,24,0,0,0,10,0,7,0,7
app,com.shopwise.app.dto.response,SaleSummaryResponse,8,23,0,0,4,9,2,7,2,7
app,com.shopwise.app.security,RestAuthenticationEntryPoint,0,15,0,0,0,5,0,2,0,2
app,com.shopwise.app.security,RestAccessDeniedHandler,0,15,0,0,0,5,0,2,0,2
app,com.shopwise.app.security,JwtRoleConverter,93,3,10,0,18,1,8,1,3,1
app,com.shopwise.app.entity,SaleItem,13,32,0,0,5,14,4,9,4,9
app,com.shopwise.app.entity,Sale,14,31,0,0,6,11,4,6,4,6
app,com.shopwise.app.entity,Product,59,24,0,0,18,10,8,7,8,7
app,com.shopwise.app.config,SecurityConfig,0,174,0,0,0,28,0,9,0,9
app,com.shopwise.app,AppApplication,5,3,0,0,2,1,1,1,1,1
